[00:42:10] EasyOCR initialized with GPU: NVIDIA GeForce RTX 3050 Laptop GPU
[00:42:10] ================================================================================
[00:42:10] Processing: temp.pdf
[00:42:10] Device: GPU
[00:42:10] ================================================================================
[00:42:15] Extracted 132 pages
[00:43:52] Page 78: SUCCESS - text=0 chars, images=1, final=1016 chars
[00:43:53] Page 79: SUCCESS - text=0 chars, images=1, final=875 chars
[00:43:55] Page 80: SUCCESS - text=0 chars, images=1, final=1104 chars
[00:43:55] GPU cache cleared at page 80
[00:43:56] Page 81: SUCCESS - text=0 chars, images=1, final=534 chars
[00:43:57] Page 82: SUCCESS - text=0 chars, images=1, final=910 chars
[00:43:58] Page 83: SUCCESS - text=0 chars, images=1, final=1161 chars
[00:43:59] Page 84: SUCCESS - text=0 chars, images=1, final=634 chars
[00:44:00] Page 85: SUCCESS - text=0 chars, images=1, final=793 chars
[00:44:02] Page 86: SUCCESS - text=0 chars, images=1, final=1328 chars
[00:44:03] Page 87: SUCCESS - text=0 chars, images=1, final=680 chars
[00:44:04] Page 88: SUCCESS - text=0 chars, images=1, final=875 chars
[00:44:05] Page 89: SUCCESS - text=0 chars, images=1, final=1089 chars
[00:44:06] Page 90: SUCCESS - text=0 chars, images=1, final=788 chars
[00:44:06] GPU cache cleared at page 90
[00:44:08] Page 91: SUCCESS - text=0 chars, images=1, final=1147 chars
[00:44:08] Page 92: SUCCESS - text=0 chars, images=1, final=746 chars
[00:44:10] Page 93: SUCCESS - text=0 chars, images=1, final=958 chars
[00:44:11] Page 94: SUCCESS - text=0 chars, images=1, final=1300 chars
[00:44:12] Page 95: SUCCESS - text=0 chars, images=1, final=617 chars
[00:44:13] Page 96: SUCCESS - text=0 chars, images=1, final=1124 chars
[00:44:14] Page 97: SUCCESS - text=0 chars, images=1, final=968 chars
[00:44:16] Page 98: SUCCESS - text=0 chars, images=1, final=1148 chars
[00:44:17] Page 99: SUCCESS - text=0 chars, images=1, final=1072 chars
[00:44:18] Page 100: SUCCESS - text=0 chars, images=1, final=1005 chars
[00:44:18] GPU cache cleared at page 100
[00:44:20] Page 101: SUCCESS - text=0 chars, images=1, final=1227 chars
[00:44:20] Page 102: SUCCESS - text=0 chars, images=1, final=496 chars
[00:44:21] Page 103: SUCCESS - text=0 chars, images=1, final=17 chars
[00:44:21] Page 104: SUCCESS - text=0 chars, images=1, final=369 chars
[00:44:22] Page 105: SUCCESS - text=0 chars, images=1, final=841 chars
[00:44:24] Page 106: SUCCESS - text=0 chars, images=1, final=1133 chars
[00:44:25] Page 107: SUCCESS - text=0 chars, images=1, final=895 chars
[00:44:26] Page 108: SUCCESS - text=0 chars, images=1, final=726 chars
[00:44:27] Page 109: SUCCESS - text=0 chars, images=1, final=927 chars
[00:44:29] Page 110: SUCCESS - text=0 chars, images=1, final=1013 chars
[00:44:29] GPU cache cleared at page 110
[00:44:30] Page 111: SUCCESS - text=0 chars, images=1, final=1419 chars
[00:44:31] Page 112: SUCCESS - text=0 chars, images=1, final=792 chars
[00:44:32] Page 113: SUCCESS - text=0 chars, images=1, final=734 chars
[00:44:34] Page 114: SUCCESS - text=0 chars, images=1, final=978 chars
[00:44:35] Page 115: SUCCESS - text=0 chars, images=1, final=1319 chars
[00:44:36] Page 116: SUCCESS - text=0 chars, images=1, final=1069 chars
[00:44:37] Page 117: SUCCESS - text=0 chars, images=1, final=894 chars
[00:44:39] Page 118: SUCCESS - text=0 chars, images=1, final=1157 chars
[00:44:40] Page 119: SUCCESS - text=0 chars, images=1, final=982 chars
[00:44:41] Page 120: SUCCESS - text=0 chars, images=1, final=519 chars
[00:44:41] GPU cache cleared at page 120
[00:44:42] Page 121: SUCCESS - text=0 chars, images=1, final=647 chars
[00:44:43] Page 122: SUCCESS - text=0 chars, images=1, final=852 chars
[00:44:44] Page 123: SUCCESS - text=0 chars, images=1, final=1020 chars
[00:44:45] Page 124: SUCCESS - text=0 chars, images=1, final=817 chars
[00:44:46] Page 125: SUCCESS - text=0 chars, images=1, final=768 chars
[00:44:48] Page 126: SUCCESS - text=0 chars, images=1, final=1113 chars
[00:44:49] Page 127: SUCCESS - text=0 chars, images=1, final=710 chars
[00:44:50] Page 128: SUCCESS - text=0 chars, images=1, final=1074 chars
[00:44:52] Page 129: SUCCESS - text=0 chars, images=1, final=1355 chars
[00:44:53] Page 130: SUCCESS - text=0 chars, images=1, final=674 chars
[00:44:53] GPU cache cleared at page 130
[00:44:55] Page 131: SUCCESS - text=0 chars, images=1, final=1527 chars
[00:44:56] Page 132: SUCCESS - text=0 chars, images=1, final=429 chars
[00:44:56] Summary: 132 success, 0 errors, 0 text chars, 34189 OCR words
[00:44:56] Processing completed: 132 success, 0 errors
[00:44:56] Total time: 161s
[00:44:56] Output size: 165,779 bytes
